REPORTID,MODULID,UNITID,ABSCHLUSS,STANDORT,STUDIENBEREICH,STUDIENGANG,STUDIENGANG_EN,STUDIENRICHTUNG,STUDIENRICHTUNG_EN,GESAMTCREDITS,SORTIERUNG,SORTIERUNG_DOKUMENT,MODULNUMMER,MODULBEZEICHNUNG,MODULBEZEICHNUNG_EN,MODULTYP,MODULBEREICH,WAHLBEREICH,SPRACHE,HAUPTVERANTWORTLICH,KONTAKT,ALLE_VERANTWORTLICHE,MODULDAUER,STUDIENJAHR,VERORTUNG,VERORTUNG_UNIT,UNITNUMMER,UNITBEZEICHNUNG,UNITBEZEICHNUNG_EN,LEHRFORM,LEHRMETHODE,PLEISTUNG_KNOTEN,PLEISTUNG,GEWICHTUNG,BENOTUNG,PRUEFUNGSUMFANG,ECTSCREDITS,PRAESENZ,SELBSTSTUDIUM,TRANSFER,PRUEFUNG,PRAESENZ_GESAMT,SELBSTSTUDIUM_GESAMT,TRANSFER_GESAMT,PRUEFUNG_GESAMT,OPTIONAL,WAHLMODULE,MODUL_VERSION,UNIT_VERSION,MAX_MODUL_VERSION,MAX_UNIT_VERSION
"186e62769ecroot","372724166195589","372724194145593","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,26,"SMGSA_13.3","SMGSA_13.3","Vertiefung rechtlicher Aspekte sozial(wirtschaftlich)er Organisationen","Advanced Training in Law of Social Work","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. iur. Rainer Patjens","rainer.patjens@dhbw-stuttgart.de","Prof. Dr. iur. Rainer Patjens",1,0,"-","0","SMGSA_13.3","Vertiefung rechtlicher Aspekte sozial(wirtschaftlich)er Organisationen","Advanced Training in Law of Social Work","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372724344786611","354045283729641","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,63,"SMGSA_14","SMGSA_14","Masterarbeit","Master Thesis","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"","Prof. Dr. Monika Sagmeister",(null),"Prof. Dr. Monika Sagmeister",1,0,"-","0","MGSA_11.1","Masterarbeit",(null),"Vorlesung, Übung","Lehrvortrag, Diskussion","MODULE","Masterarbeit",21,"ja","Siehe Pruefungsordnung",25.0,8.0,622.0,0.0,0.0,12.0,736.0,0.0,0.0,0,0,2,1,2,1
"186e62769ecroot","372724344786611","354045283729641","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,63,"SMGSA_14","SMGSA_14","Masterarbeit","Master Thesis","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"","Prof. Dr. Monika Sagmeister",(null),"Prof. Dr. Monika Sagmeister",1,0,"-","0","MGSA_11.1","Masterarbeit",(null),"Vorlesung, Übung","Lehrvortrag, Diskussion","MODULE","Mündliche Prüfung",4,"ja","Siehe Pruefungsordnung",25.0,8.0,622.0,0.0,0.0,12.0,736.0,0.0,0.0,0,0,2,1,2,1
"186e62769ecroot","372724344786611","360656574338119","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,63,"SMGSA_14","SMGSA_14","Masterarbeit","Master Thesis","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"","Prof. Dr. Monika Sagmeister",(null),"Prof. Dr. Monika Sagmeister",1,0,"-","0","MGSA_11.2","Kolloqium",(null),"Vorlesung, Übung","Lehrvortrag, Diskussion","MODULE","Masterarbeit",21,"ja","Siehe Pruefungsordnung",25.0,4.0,114.0,0.0,0.0,12.0,736.0,0.0,0.0,0,0,2,1,2,1
"186e62769ecroot","372724344786611","360656574338119","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,63,"SMGSA_14","SMGSA_14","Masterarbeit","Master Thesis","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"","Prof. Dr. Monika Sagmeister",(null),"Prof. Dr. Monika Sagmeister",1,0,"-","0","MGSA_11.2","Kolloqium",(null),"Vorlesung, Übung","Lehrvortrag, Diskussion","MODULE","Mündliche Prüfung",4,"ja","Siehe Pruefungsordnung",25.0,4.0,114.0,0.0,0.0,12.0,736.0,0.0,0.0,0,0,2,1,2,1
"186e62769ecroot","372733227461217","372733256714221","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,28,"SMSAM_04","SMSAM_04","Rechtliche Grundlagen","Legal Principles","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof . Dr. Rahel Gugel",(null),"Prof . Dr. Rahel Gugel",1,0,"-","0","SMSAM_04.1","Rechtliche Grundlagen","Legal Principles","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372733408210224","372733434802228","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,29,"SMSAM_05","SMSAM_05","Migrationspolitiken im nationalen und internationalen Kontext","Migration Policies in the National and International Context","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Süleyman Gögercin","goegercin@dhbw-vs.de","Prof. Dr. Süleyman Gögercin",1,0,"-","0","SMSAM_05.1","Migrationspolitiken im nationalen und internationalen Kontext","Migration Policies in the National and International Context","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372733455712230","372733488354234","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,30,"SMSAM_06","SMSAM_06","Migration und Migrationstheorien","Migration and Migration Theories","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Ute Koch","Ute.Koch@dhbw-stuttgart.de","Prof. Dr. Ute Koch",1,0,"-","0","SMSAM_06.1","Migration und Migrationstheorien","Migration and Migration Theories","Vorlesung, Übung","Praxis","MODULE","Testat",100,"Bestanden/ Nicht-Bestanden","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,3,2,3,2
"186e62769ecroot","372733524302237","372733619133241","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,31,"SMSAM_07","SMSAM_07","Vielfalt, Differenz und „interkulturelle Kompetenz“ im Diskurs","Diversity and Difference in the Migration Society and ""Intercultural Competence"" in Discourse","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Ute Koch","Ute.Koch@dhbw-stuttgart.de","Prof. Dr. Ute Koch",2,0,"-","0","SMSAM_07.1","Vielfalt, Differenz und „interkulturelle Kompetenz“ im Diskurs","Diversity and Difference in the Migration Society and ""Intercultural Competence"" in Discourse","Vorlesung, Übung","Praxis","MODULE","Seminararbeit",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,5,2,5,2
"186e62769ecroot","372733644322243","372733719642247","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,32,"SMSAM_08","SMSAM_08","Handlungstheorien, Konzepte und Methoden Sozialer Arbeit in der Migrationsgesellschaft","Action Theories, Methods and Concepts of Social Work in the Migration Society, incl. Organizational Concepts in Dealing with Diversity","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Beate Blank","blank@dhbw-vs.de","Prof. Dr. Beate Blank",1,0,"-","0","SMSAM_08.1","Handlungstheorien, Konzepte und Methoden Sozialer Arbeit in der Migrationsgesellschaft","Action Theories, Methods and Concepts of Social Work in the Migration Society, incl. Organizational Concepts in Dealing with Diversity","Vorlesung, Übung","Praxis","MODULE","Projekt- bzw. Forschungsskizze",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372733748518249","372733778844253","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,33,"SMSAM_09","SMSAM_09","(Alltags-)Rassismus und soziale Konstruktion von (Nicht-) Zugehörigkeit","(Everyday) Racism and Social Construction of (Non-)Belonging","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Barbara Schramkowski","schramkowski@dhbw-vs.de","Prof. Dr. Barbara Schramkowski",1,0,"-","0","SMSAM_09.1","(Alltags-)Rassismus und soziale Konstruktion von (Nicht-) Zugehörigkeit","(Everyday) Racism and Social Construction of (Non-)Belonging","Vorlesung, Übung","Praxis","MODULE","Testat / Referat",100,"Bestanden/ Nicht-Bestanden","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,3,2,3,2
"186e62769ecroot","372773681146715","372773721131719","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,34,"SMSAM_10","SMSAM_10","Intersektionalität in der Sozialen Arbeit im Spannungsfeld vielfältiger Differenzlinien","Intersectionality in Social Work regarding Various (Conflicting) Lines of Difference","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Anne-Katrin Schührer","anne-katrin.schuehrer@dhbw-stuttgart.de","Prof. Dr. Anne-Katrin Schührer",1,0,"-","0","SMSAM_10.1","Intersektionalität in der Sozialen Arbeit im Spannungsfeld vielfältiger Differenzlinien","Intersectionality in Social Work regarding Various (Conflicting) Lines of Difference","Vorlesung, Übung","Praxis","MODULE","Seminararbeit",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,3,2,3,2
"186e62769ecroot","372773748216721","372773774801725","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,35,"SMSAM_11","SMSAM_11","Menschenrechte und Internationale Soziale Arbeit in der globalen Migrationsgesellschaft","Human Rights and International Social Work in the Global Migration Society","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Beate Blank","blank@dhbw-vs.de","Prof. Dr. Beate Blank",1,0,"-","0","SMSAM_11.1","Menschenrechte und Internationale Soziale Arbeit in der globalen Migrationsgesellschaft","Human Rights and International Social Work in the Global Migration Society","Vorlesung, Übung","Praxis","MODULE","Mündliche Prüfung",100,"ja","30",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372773842086733","372773865775737","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,36,"SMSAM_13.1","SMSAM_13.1","Soziale Arbeit in ausgewählten Ländern","Social Work in selected Countries","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Süleyman Gögercin","goegercin@dhbw-vs.de","Prof. Dr. Süleyman Gögercin",1,0,"-","0","SMSAM_13.1","Soziale Arbeit in ausgewählten Ländern","Social Work in selected Countries","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372773885647740","372773909194744","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,37,"SMSAM_13.2","SMSAM_13.2","Inter- und transkulturelle Kompetenz","Inter- and Transcultural Competence","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Süleyman Gögercin","goegercin@dhbw-vs.de","Prof. Dr. Süleyman Gögercin",1,0,"-","0","SMSAM_13.2","Inter- und transkulturelle Kompetenz","Inter- and Transcultural Competence","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372773939327746","372773977179750","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,38,"SMSAM_13.3","SMSAM_13.3","Migration und Gesundheit","Migration and Health","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Martina Wanner","wanner@dhbw-vs.de","Prof. Dr. Martina Wanner",1,0,"-","0","SMSAM_13.3","Migration und Gesundheit","Migration and Health","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372783560787125","372783590423129","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,39,"SMSAM_13.6","SMSAM_13.6","(Un)begleitete minderjährige Flüchtlinge","(Un)accompanied Minor Refugees","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Süleyman Gögercin","goegercin@dhbw-vs.de","Prof. Dr. Süleyman Gögercin",1,0,"-","0","SMSAM_13.6","(Un)begleitete minderjährige Flüchtlinge","(Un)accompanied Minor Refugees","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372783714431145","372783750485149","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,40,"SMSAM_13.9","SMSAM_13.9","Aktuelle Entwicklungen und Diskurse","Recent Developments and Discourses","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Süleyman Gögercin","goegercin@dhbw-vs.de","Prof. Dr. Süleyman Gögercin",1,0,"-","0","SMSAM_13.9","Aktuelle Entwicklungen und Diskurse","Recent Developments and Discourses","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372784651324177","372784677695181","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,44,"SMSP_04","SMSP_04","Rechtliche Rahmenbedingungen der Sozialplanung","Legal Framework of Social Planning","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. iur. Rainer Patjens","rainer.patjens@dhbw-stuttgart.de","Prof. Dr. iur. Rainer Patjens",1,0,"-","0","SMSP_04.1","Rechtliche Rahmenbedingungen der Sozialplanung","Legal Framework of Social Planning","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372784695416183","372784728159187","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,55,"SMSP_05","SMSP_05","Einführung in die Sozialplanung","Introduction to Social Planning","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Margarete Finkel","margarete.finkel@dhbw-stuttgart.de","Prof. Dr. Margarete Finkel",1,0,"-","0","SMSP_05.1","Einführung in die Sozialplanung","Introduction to Social Planning","Vorlesung, Übung","Praxis","MODULE","Testat",1,"Bestanden/ Nicht-Bestanden","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372793202941042","372793252172046","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,45,"SMSP_06","SMSP_06","Bürgerbeteiligung - Grundlagen und Methoden von Partizipation","Civic Involvement – Basics and Methods of Social Participation","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Ursula Weber","ursula.weber@dhbw-stuttgart.de","Prof. Dr. Ursula Weber",1,0,"-","0","SMSP_06.1","Bürgerbeteiligung - Grundlagen und Methoden von Partizipation","Civic Involvement – Basics and Methods of Social Participation","Vorlesung, Übung","Praxis","MODULE","Projekt- bzw. Forschungsskizze / Referat",1,"Bestanden/ Nicht-Bestanden","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372793279710048","372793302615052","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,46,"SMSP_07","SMSP_07","Planung im Kontext kommunaler Sozialpolitik, Local Governance und neuer Steuerungsansätze","Planning in the Context of Local Social Policy, Local Governance and New Governance Approaches","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Andreas Polutta",(null),"Prof. Dr. Andreas Polutta",1,0,"-","0","SMSP_07.1","Planung im Kontext kommunaler Sozialpolitik, Local Governance und neuer Steuerungsansätze","Planning in the Context of Local Social Policy, Local Governance and New Governance Approaches","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372793683948054","372793915448058","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,47,"SMSP_08","SMSP_08","Wirkungsorientierung, Controlling und Evaluation","Impact Assessment Controlling and Evaluation","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Andreas Polutta",(null),"Prof. Dr. Andreas Polutta",2,0,"-","0","SMSP_08.1","Wirkungsorientierung, Controlling und Evaluation","Impact Assessment Controlling and Evaluation","Vorlesung, Übung","Praxis","MODULE","Projekt- bzw. Forschungsskizze / Präsentation",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,3,2,3,2
"186e62769ecroot","372793944312060","372793970342064","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,48,"SMSP_09","SMSP_09","Reformanalyse und Politikberatung","Analysis of Policy Reforms and Consultation","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Günter Rieger","rieger@dhbw-stuttgart.de","Prof. Dr. Günter Rieger",2,0,"-","0","SMSP_09.1","Reformanalyse und Politikberatung","Analysis of Policy Reforms and Consultation","Vorlesung, Übung","Praxis","MODULE","Testat",1,"Bestanden/ Nicht-Bestanden","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,5,2,5,2
"186e62769ecroot","372793990666066","372794060113071","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,49,"SMSP_10","SMSP_10","Handlungsfelder der Sozialplanung","Fields of Action in Social Planning","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof.Dr. Margarete Finkel","finkel@dhbw-stuttgart.de","Prof.Dr. Margarete Finkel",1,0,"-","0","SMSP_10.6","Handlungsfelder der Sozialplanung","Fields of Action in Social Planning","Vorlesung, Übung","Praxis","MODULE","Studienarbeit",1,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,5,1,5,1
